Name;Drama;Crimi;Comedy;Mysterious;Thriller;Historical;Action;Sci-Fi;Fantasy;Adventure;Horror;Western
The Shawshank Redemption;0.7071067811865475;0.0;0.0;0.0;0.7071067811865475;0.0;0.0;0.0;0.0;0.0;0.0;0.0
The Godfather;0.5773502691896258;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Inception;0.0;0.0;0.0;0.4472135954999579;0.4472135954999579;0.0;0.4472135954999579;0.4472135954999579;0.0;0.4472135954999579;0.0;0.0
Pulp Fiction;0.0;0.5773502691896258;0.5773502691896258;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.0
The Dark Knight;0.0;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0
Forrest Gump;0.7071067811865475;0.0;0.7071067811865475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
The Matrix;0.0;0.0;0.0;0.5;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0
The Lord of the Rings;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.5;0.0;0.0
Titanic;0.7071067811865475;0.0;0.0;0.0;0.0;0.7071067811865475;0.0;0.0;0.0;0.0;0.0;0.0
Fight Club;0.5773502691896258;0.0;0.0;0.5773502691896258;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Interstellar;0.4472135954999579;0.0;0.0;0.4472135954999579;0.4472135954999579;0.0;0.0;0.4472135954999579;0.0;0.4472135954999579;0.0;0.0
The Silence of the Lambs;0.0;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.0
Saving Private Ryan;0.5;0.0;0.0;0.0;0.5;0.5;0.5;0.0;0.0;0.0;0.0;0.0
Schindler's List;0.5;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0
The Green Mile;0.7071067811865475;0.0;0.0;0.0;0.7071067811865475;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Gladiator;0.4472135954999579;0.0;0.0;0.0;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.0;0.0;0.4472135954999579;0.0;0.0
Braveheart;0.5;0.0;0.0;0.0;0.5;0.5;0.5;0.0;0.0;0.0;0.0;0.0
The Departed;0.0;0.7071067811865475;0.0;0.0;0.7071067811865475;0.0;0.0;0.0;0.0;0.0;0.0;0.0
The Prestige;0.5;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0
The Usual Suspects;0.0;0.5773502691896258;0.0;0.5773502691896258;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Django Unchained;0.0;0.4472135954999579;0.4472135954999579;0.0;0.4472135954999579;0.0;0.4472135954999579;0.0;0.0;0.0;0.0;0.4472135954999579
The Grand Budapest Hotel;0.0;0.0;0.7071067811865475;0.0;0.0;0.0;0.0;0.0;0.7071067811865475;0.0;0.0;0.0
Mad Max: Fury Road;0.0;0.0;0.0;0.0;0.5773502691896258;0.0;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.0
No Country for Old Men;0.0;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.5773502691896258
Parasite;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Joker;0.5773502691896258;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Avengers: Endgame;0.0;0.0;0.0;0.0;0.4472135954999579;0.0;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.0;0.0
Spider-Man: No Way Home;0.0;0.0;0.0;0.0;0.4472135954999579;0.0;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.0;0.0
It;0.0;0.0;0.0;0.5773502691896258;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.5773502691896258;0.0
A Quiet Place;0.0;0.0;0.0;0.5773502691896258;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.5773502691896258;0.0
The Revenant;0.4472135954999579;0.0;0.0;0.0;0.4472135954999579;0.4472135954999579;0.4472135954999579;0.0;0.0;0.0;0.0;0.4472135954999579
Unforgiven;0.0;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.5773502691896258
Logan;0.5;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.0;0.0
The Witch;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.5;0.0
The Conjuring;0.0;0.0;0.0;0.5773502691896258;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.5773502691896258;0.0
John Wick;0.0;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0
Blade Runner 2049;0.0;0.0;0.0;0.5;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0
The Hateful Eight;0.0;0.5773502691896258;0.0;0.0;0.5773502691896258;0.0;0.0;0.0;0.0;0.0;0.0;0.5773502691896258
Whiplash;0.7071067811865475;0.0;0.0;0.0;0.7071067811865475;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Shutter Island;0.5;0.5;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
