Name;Drama;Crimi;Comedy;Mysterious;Thriller;Historical;Action;Sci-Fi;Fantasy;Adventure;Horror;Western
The Shawshank Redemption;1;0;0;0;1;0;0;0;0;0;0;0
The Godfather;1;1;0;0;1;0;0;0;0;0;0;0
Inception;0;0;0;1;1;0;1;1;0;1;0;0
Pulp Fiction;0;1;1;0;1;0;0;0;0;0;0;0
The Dark Knight;0;1;0;0;1;0;1;0;0;0;0;0
Forrest Gump;1;0;1;0;0;0;0;0;0;0;0;0
The Matrix;0;0;0;1;1;0;1;1;0;0;0;0
The Lord of the Rings;1;0;0;0;1;0;0;0;1;1;0;0
Titanic;1;0;0;0;0;1;0;0;0;0;0;0
Fight Club;1;0;0;1;1;0;0;0;0;0;0;0
Interstellar;1;0;0;1;1;0;0;1;0;1;0;0
The Silence of the Lambs;0;1;0;1;1;0;0;0;0;0;1;0
Saving Private Ryan;1;0;0;0;1;1;1;0;0;0;0;0
Schindler's List;1;1;0;0;1;1;0;0;0;0;0;0
The Green Mile;1;0;0;0;1;0;0;0;0;0;0;0
Gladiator;1;0;0;0;1;1;1;0;0;1;0;0
Braveheart;1;0;0;0;1;1;1;0;0;0;0;0
The Departed;0;1;0;0;1;0;0;0;0;0;0;0
The Prestige;1;0;0;1;1;0;0;0;1;0;0;0
The Usual Suspects;0;1;0;1;1;0;0;0;0;0;0;0
Django Unchained;0;1;1;0;1;0;1;0;0;0;0;1
The Grand Budapest Hotel;0;0;1;0;0;0;0;0;1;0;0;0
Mad Max: Fury Road;0;0;0;0;1;0;1;0;0;1;0;0
No Country for Old Men;0;1;0;0;1;0;0;0;0;0;0;1
Parasite;1;1;1;1;1;0;0;0;0;0;0;0
Joker;1;1;0;0;1;0;0;0;0;0;0;0
Avengers: Endgame;0;0;0;0;1;0;1;1;1;1;0;0
Spider-Man: No Way Home;0;0;0;0;1;0;1;1;1;1;0;0
It;0;0;0;1;1;0;0;0;0;0;1;0
A Quiet Place;0;0;0;1;1;0;0;0;0;0;1;0
The Revenant;1;0;0;0;1;1;1;0;0;0;0;1
Unforgiven;0;1;0;0;1;0;0;0;0;0;0;1
Logan;1;0;0;0;1;0;1;0;1;0;0;0
The Witch;0;0;0;1;1;0;0;0;1;0;1;0
The Conjuring;0;0;0;1;1;0;0;0;0;0;1;0
John Wick;0;1;0;0;1;0;1;0;0;0;0;0
Blade Runner 2049;0;0;0;1;1;0;1;1;0;0;0;0
The Hateful Eight;0;1;0;0;1;0;0;0;0;0;0;1
Whiplash;1;0;0;0;1;0;0;0;0;0;0;0
Shutter Island;1;1;0;1;1;0;0;0;0;0;0;0
